Code #,Postal code,Rent,City,Street,SqMeter,Land,Lat,Lng,Bedrooms,Attic,Basement,Garage,Pool,Office,Energy,Image,Link
8687813,1450,1300,CORTIL-NOIRMONT,,150,1000,,,3,No,Yes,Yes,No,Yes,B,https://static.immoweb.be/photos/0/8/6/8/7/8/1/3/M_8687813_1.jpg?cache=20200424155421,https://www.immoweb.be/fr/annonce/maison/a-louer/cortil-noirmont/1450/8687813
8686933,5380,1100,Forville,Avenue de la liberation 93c,190,1000,50.5783985,5.0093914,5,No,No,No,No,Yes,,https://static.immoweb.be/photos/0/8/6/8/6/9/3/3/M_8686933_1.jpg?cache=20200423133741,https://www.immoweb.be/fr/annonce/maison/a-louer/forville/5380/8686933
6734611,5080,1200,La Bruyere,Rue Trieux Des Frênes 5,300,1000,50.5173257,4.8190382,4,No,Yes,Yes,No,Yes,,https://static.immoweb.be/photos/0/6/7/3/4/6/1/1/M_6734611_1.jpg?cache=20170215204250,https://www.immoweb.be/fr/annonce/maison/a-louer/la-bruyere/5080/6734611
8666513,1370,1100,Jodoigne,rue longue 251,170,500,50.7385909,4.9501079,3,Yes,No,No,No,No,B,https://static.immoweb.be/photos/0/8/6/6/6/5/1/3/M_8666513_211.jpg?cache=20200524143613,https://www.immoweb.be/fr/annonce/maison/a-louer/jodoigne/1370/8666513
8652569,1300,1900,Wavre,,260,700,,,5,No,No,No,No,Yes,D,https://static.immoweb.be/photos/0/8/6/5/2/5/6/9/M_8652569_1.jpg?cache=20200310154035,https://www.immoweb.be/fr/annonce/maison/a-louer/wavre/1300/8652569
8651139,5081,1125,Bovesse,Chaussee d'Eghezee 25A,148,0,50.5380802,4.7872889,3,Yes,No,No,No,No,B,https://static.immoweb.be/photos/0/8/6/5/1/1/3/9/M_8651139_1.jpg?cache=20200512032105,https://www.immoweb.be/fr/annonce/maison/a-louer/bovesse/5081/8651139
8650356,1435,1350,CORBAIS,,185,1200,,,3,No,No,Yes,No,No,C,https://static.immoweb.be/photos/0/8/6/5/0/3/5/6/M_8650356_1.jpg?cache=20200309145927,https://www.immoweb.be/fr/annonce/maison/a-louer/corbais/1435/8650356
8400386,1340,1500,Ottignies,place du Mât de Cocagne L2,188,240,50.6657252,4.5868116,3,Yes,Yes,Yes,No,No,A,https://static.immoweb.be/photos/0/8/4/0/0/3/8/6/M_8400386_302.jpg?cache=20200427185919,https://www.immoweb.be/fr/annonce/maison/a-louer/ottignies/1340/8400386
8646715,5004,1400,Bouge,,205,0,,,4,No,Yes,Yes,No,Yes,C,https://static.immoweb.be/photos/0/8/6/4/6/7/1/5/M_8646715_1.jpg?cache=20200306133927,https://www.immoweb.be/fr/annonce/maison/a-louer/bouge/5004/8646715
8640410,5380,1100,Hemptinne,rue de la soile 28,200,500,50.6049345,4.9900148,3,No,Yes,No,No,Yes,E,https://static.immoweb.be/photos/0/8/6/4/0/4/1/0/M_8640410_71.jpg?cache=20200413150850,https://www.immoweb.be/fr/annonce/maison/a-louer/hemptinne/5380/8640410
